"KundenadressePLZ","Ort","Land","Sum(Totalbetrag)","adresse","coordinate","latitude","longitude"
5085,"Sulz AG","Schweiz",4758.15,"5085 Sulz AG, Schweiz","47.532246 8.0972936",47.532246,8.0972936
5102,"Rupperswil","Schweiz",9477.1,"5102 Rupperswil, Schweiz","47.4014197 8.1324421",47.4014197,8.1324421
5103,"Wildegg","Schweiz",2509.6500000000005,"5103 Wildegg, Schweiz","47.4155165 8.181978299999999",47.4155165,8.181978299999999
5105,"Auenstein","Schweiz",2392.2499999999995,"5105 Auenstein, Schweiz","47.4166971 8.1362613",47.4166971,8.1362613
5106,"Veltheim AG","Schweiz",912.7500000000002,"5106 Veltheim AG, Schweiz","47.42956849999999 8.1526128",47.42956849999999,8.1526128
5107,"Schinznach Dorf","Schweiz",5979.299999999998,"5107 Schinznach Dorf, Schweiz","47.4602684 8.137235800000001",47.4602684,8.137235800000001
5108,"Oberflachs","Schweiz",923.4,"5108 Oberflachs, Schweiz","47.439141 8.1221053",47.439141,8.1221053
5112,"Thalheim AG","Schweiz",18.9,"5112 Thalheim AG, Schweiz","47.4434508 8.0961387",47.4434508,8.0961387
5113,"Holderbank AG","Schweiz",472.25,"5113 Holderbank AG, Schweiz","47.4309267 8.1681246",47.4309267,8.1681246
5116,"Schinznach Bad","Schweiz",1932.55,"5116 Schinznach Bad, Schweiz","47.4506871 8.167766499999999",47.4506871,8.167766499999999
5200,"Brugg AG","Schweiz",9138.199999999999,"5200 Brugg AG, Schweiz","47.48673549999999 8.2109103",47.48673549999999,8.2109103
5201,,,208.5,,,,
5210,"Windisch","Schweiz",3860.2499999999995,"5210 Windisch, Schweiz","47.4767224 8.217699",47.4767224,8.217699
5212,"Hausen AG","Schweiz",2821.1,"5212 Hausen AG, Schweiz","47.46213040000001 8.2115423",47.46213040000001,8.2115423
5213,"Villnachern","Schweiz",650.3,"5213 Villnachern, Schweiz","47.46941200000001 8.1631666",47.46941200000001,8.1631666
5222,"Umiken","Schweiz",3894.5500000000015,"5222 Umiken, Schweiz","47.4825891 8.1875693",47.4825891,8.1875693
