Postleitzahl,Ort,Kanton,Land
1435,Essert-Pittet,Waadt,Schweiz
1436,Treycovagnes,Waadt,Schweiz
1437,Suscévaz,Waadt,Schweiz
1438,Mathod,Waadt,Schweiz
1439,Rances,Waadt,Schweiz
1441,Valeyres-sous-Montagny,Waadt,Schweiz
1442,Montagny-près-Yverdon,Waadt,Schweiz
1443,Champvent,Waadt,Schweiz
1445,Vuiteboeuf,Waadt,Schweiz
1446,Baulmes,Waadt,Schweiz
1450,La Sagne (Ste-Croix),Waadt,Schweiz
1452,Les Rasses,Waadt,Schweiz
1453,Mauborget,Waadt,Schweiz
1454,La Vraconnaz,Waadt,Schweiz
1462,Yvonand,Waadt,Schweiz
1463,Rovray,Waadt,Schweiz
1464,Chêne-Pâquier,Waadt,Schweiz
1468,Cheyres,Freiburg,Schweiz
1470,Bollion,Freiburg,Schweiz
1473,Font,Freiburg,Schweiz
1474,Châbles FR,Freiburg,Schweiz
1475,Autavaux,Freiburg,Schweiz
1482,Cugy FR,Freiburg,Schweiz
1483,Frasses,Freiburg,Schweiz
1484,Aumont,Freiburg,Schweiz
1485,Nuvilly,Freiburg,Schweiz
1486,Vuissens,Freiburg,Schweiz
1489,Murist,Freiburg,Schweiz
1509,Vucherens,Waadt,Schweiz
1510,Syens,Waadt,Schweiz
1512,Chavannes-sur-Moudon,Waadt,Schweiz
1513,Hermenches,Waadt,Schweiz
1514,Bussy-sur-Moudon,Waadt,Schweiz
1515,Neyruz-sur-Moudon,Waadt,Schweiz
1521,Curtilles,Waadt,Schweiz
1522,Oulens-sur-Lucens,Waadt,Schweiz
1523,Granges-près-Marnand,Waadt,Schweiz
1524,Marnand,Waadt,Schweiz
1525,Seigneux,Waadt,Schweiz
1526,Forel-sur-Lucens,Waadt,Schweiz
1527,Villeneuve FR,Freiburg,Schweiz
1528,Praratoud,Freiburg,Schweiz
1529,Cheiry,Freiburg,Schweiz
1530,Payerne,Waadt,Schweiz
1532,Fétigny,Freiburg,Schweiz
1533,Ménières,Freiburg,Schweiz
1534,Chapelle (Broye),Freiburg,Schweiz
1535,Combremont-le-Grand,Waadt,Schweiz
1536,Combremont-le-Petit,Waadt,Schweiz
1537,Champtauroz,Waadt,Schweiz
1538,Treytorrens (Payerne),Waadt,Schweiz
1541,Morens FR,Freiburg,Schweiz
1542,Rueyres-les-Prés,Freiburg,Schweiz
1543,Grandcour,Waadt,Schweiz
1544,Gletterens,Freiburg,Schweiz
1545,Chevroux,Waadt,Schweiz
1551,Vers-chez-Perrin,Waadt,Schweiz
1552,Trey,Waadt,Schweiz
1553,Châtonnaye,Freiburg,Schweiz
1554,Sédeilles,Waadt,Schweiz
1555,Villarzel,Waadt,Schweiz
1562,Corcelles-près-Payerne,Waadt,Schweiz
1563,Dompierre FR,Freiburg,Schweiz
1564,Domdidier,Freiburg,Schweiz
1565,Vallon,Freiburg,Schweiz
1566,Les Friques,Freiburg,Schweiz
1567,Delley,Freiburg,Schweiz
1568,Portalban,Freiburg,Schweiz
1580,Oleyres,Waadt,Schweiz
1582,Donatyre,Waadt,Schweiz
1583,Villarepos,Freiburg,Schweiz
1584,Villars-le-Grand,Waadt,Schweiz
1585,Bellerive VD,Waadt,Schweiz
1586,Vallamand,Waadt,Schweiz
1587,Montmagny,Waadt,Schweiz
1588,Cudrefin,Waadt,Schweiz
1589,Chabrey,Waadt,Schweiz
1595,Clavaleyres,Bern,Schweiz
1607,Les Tavernes,Waadt,Schweiz
1608,Chapelle (Glâne),Freiburg,Schweiz
1609,Besencens,Freiburg,Schweiz
1610,Châtillens,Waadt,Schweiz
1611,Le Crêt-près-Semsales,Freiburg,Schweiz
1612,Ecoteaux,Waadt,Schweiz
1613,Maracon,Waadt,Schweiz
1614,Granges (Veveyse),Freiburg,Schweiz
1615,Bossonnens,Freiburg,Schweiz
1616,Attalens,Freiburg,Schweiz
1617,Tatroz,Freiburg,Schweiz
1618,Châtel-St-Denis,Freiburg,Schweiz
1619,Les Paccots,Freiburg,Schweiz
1623,Semsales,Freiburg,Schweiz
1624,La Verrerie,Freiburg,Schweiz
1625,Maules,Freiburg,Schweiz
1626,Romanens,Freiburg,Schweiz
1627,Vaulruz,Freiburg,Schweiz
1628,Vuadens,Freiburg,Schweiz
1630,Bulle,Freiburg,Schweiz
1632,Riaz,Freiburg,Schweiz
1633,Vuippens,Freiburg,Schweiz
1634,La Roche FR,Freiburg,Schweiz
1635,La Tour-de-Trême,Freiburg,Schweiz
1636,Broc,Freiburg,Schweiz
1637,Charmey (Gruyère),Freiburg,Schweiz
1638,Morlon,Freiburg,Schweiz
1642,Sorens,Freiburg,Schweiz
1643,Gumefens,Freiburg,Schweiz
1644,Avry-devant-Pont,Freiburg,Schweiz
1645,Le Bry,Freiburg,Schweiz
1646,Echarlens,Freiburg,Schweiz
1647,Corbières,Freiburg,Schweiz
1648,Hauteville,Freiburg,Schweiz
1649,Pont-la-Ville,Freiburg,Schweiz
1651,Villarvolard,Freiburg,Schweiz
1652,Botterens,Freiburg,Schweiz
1653,Châtel-sur-Montsalvens,Freiburg,Schweiz
1654,Cerniat FR,Freiburg,Schweiz
1656,Im Fang,Freiburg,Schweiz
1657,Abländschen,Bern,Schweiz
1658,La Tine,Waadt,Schweiz
1659,Flendruz,Waadt,Schweiz
1660,Les Moulins,Waadt,Schweiz
1661,Le Pâquier-Montbarry,Freiburg,Schweiz
1663,Moléson-sur-Gruyères,Freiburg,Schweiz
1665,Estavannens,Freiburg,Schweiz
1666,Villars-sous-Mont,Freiburg,Schweiz
1667,Enney,Freiburg,Schweiz
1669,Neirivue,Freiburg,Schweiz
1670,Bionnens,Freiburg,Schweiz
1673,Auboranges,Freiburg,Schweiz
1674,Vuarmarens,Freiburg,Schweiz
1675,Vauderens,Freiburg,Schweiz
