"ID";"Name";"Strasse";"PLZ";"Ort";"Adresse";"coordinate";"latitude";"longitude"
174;"LANDI Wiggen und Umgebung";"Fischbach";6197;"Schangnau";"Fischbach, Schangnau, Switzerland";"46.8268859 7.8655326";46.8268859;7.8655326
175;"LANDI Sempach-Emmen";"Bahnhofstrasse 27";6203;"Sempach Station";"Bahnhofstrasse 27, Sempach Station, Switzerland";"47.1158848 8.2003103";47.1158848;8.2003103
176;"LANDI Nottwil - Buttisholz";"Kantonsstrasse 14";6207;"Nottwil";"Kantonsstrasse 14, Nottwil, Switzerland";"47.13622729999999 8.1358487";47.13622729999999;8.1358487
177;"LANDI-Markt AG Sursee";"Schellenrain 11";6208;"Oberkirch";"Schellenrain 11, Oberkirch, Switzerland";"47.1630128 8.1045375";47.1630128;8.1045375
178;"LANDI Beromünster";"Aargauerstrasse 11";6215;"Beromünster";"Aargauerstrasse 11, Beromünster, Switzerland";"47.2084856 8.1907151";47.2084856;8.1907151
179;"LANDI Triengen";"Kantonsstrasse 4";6234;"Triengen";"Kantonsstrasse 4, Triengen, Switzerland";"47.2278796 8.084102399999999";47.2278796;8.084102399999999
180;"LANDI Luzern West";"Schürmatt 3";6247;"Schötz";"Schürmatt 3, Schötz, Switzerland";"47.1829069 7.9815571";47.1829069;7.9815571
181;"LANDI Luzern West";"Dörflimatte 1";6260;"Reiden";"Dörflimatte 1, Reiden, Switzerland";"47.2472798 7.971340799999998";47.2472798;7.971340799999998
182;"LANDI Oberseetal";"Huwilstrasse 7";6280;"Hochdorf";"Huwilstrasse 7, Hochdorf, Switzerland";"47.1703253 8.2834799";47.1703253;8.2834799
183;"LANDI Oberseetal";"Mettmenstrasse 5";6288;"Schongau";"Mettmenstrasse 5, Schongau, Switzerland";"47.26776599999999 8.260769699999999";47.26776599999999;8.260769699999999
184;"LANDI Zugerland";"Oberallmendstrasse 24";6300;"Zug";"Oberallmendstrasse 24, Zug, Switzerland";"47.1825872 8.524531";47.1825872;8.524531
